Project	Title	Abstract	Sequence Runs
SRP064713	Functional analysis of the archaea, bacteria, and viruses from a halite endolithic microbial community	Halite endoliths (salt rocks) in the Atacama Desert represent one of the most extreme environments on Earth. We obtained a 9.6 Gb high quality shotgun metagenome from halite nodules collected in the Salar Grande area. Our metagenome is unique because it has high sequencing depth, low diversity, and representative members from all 3 domains of life and from viruses. Taxonomic assignment of the metagenomic reads confirmed that the community is dominated by members of the Archaea, including Nanohaloarchaea, and also comprised members of the Bacteria and Eukarya. The functional annotation of the metagenome revealed that the cyanobacterium Halothece might be responsible for most of the CO2 fixed in the community and that a number of archaea and bacteria could carry out photoheterotrophy, via light-driven proton pumps, increasing the energy budget of the community from light. Our analysis predicted that the alga identified in the community has one of the lowest protein isoelectric point (pI) distributions of any reported eukaryote. Its pI profile was similar to that of halophiles using a â€œsalt-inâ€ strategy. Our genome assembly produced a nanohaloarchaeon genome of 1.2 Mbp with Candidatus Haloredivivus as the closest known reference. We have named this new microorganism Candidatus Nanopetramus SG9. Analysis of its genome sequence revealed a photoheterotrophic life style, a low median isoelectric point for all its predicted proteins, suggesting a â€œsalt-inâ€ strategist, and the presence of a unique CRISPR/Cas system in its genome; one of the spacers from this unique CRISPR/Cas system matched a partial viral genome from the metagenome. We developed new methods to identify viral genomic content from metagenome data, resulting in the identification of over 30 complete or near complete viral or proviral genomes in the halite metagenome. These viral genomes were diverse in genome structure, gene content, host, and genome size. Putative hosts for these viruses included Halobacteriaceae, Nanohaloarchaea, and Cyanobacteria. Despite the dependence on deliquescence of the halite community for liquid water availability, this study revealed an ecosystem spanning three phylogenetic domains, containing a large diversity of viruses, and a predominant â€œsalt-inâ€ strategy to balance the high osmotic pressure of the environment.	SRR2630167
SRP095078	De novo transcriptome assembly of the amphipod Gammarus chevreuxi exposed to chronic hypoxia	The transcriptome of the brackish water amphipod Gammarus chevreuxi was sequenced following exposure to chronic hypoxia using 100BP paired-end Illumina HiSeq sequencing. Amphipods were exposed to 100%, 40% or 20% air saturation for one week.	SRR5109797,SRR5109798,SRR5109799,SRR5109800,SRR5109803,SRR5109804
SRP007902	Fungus-growing Ant Refuse Dumps	Fungus-growing Ant Refuse Dumps     Community metagenome sequencing from the refuse dumps of     fungus-growing ants. These include dumps from both Atta colombica and     A. texana. The goal of this study is to determine if the diversity and     carbohydrate-degrading potential of the bacterial communities     associated with these natural composts.	SRR332521
SRP118097	Switchgrass associated microbial communities from Austin, Texas, USA, to study host-microbe interactions - RS_106 metaG metagenome	The role of host genotype and the abiotic environment in determining switchgrass microbiome diversity	SRR6050640
SRP101374	Hong Kong Banknote Microbiota Raw sequence reads	In this study, we collected banknotes from hospitals and metro stations from different geographical regions of Hong Kong and performed in vitro characterization of the particular bacterial presence and resistome profile as well as shotgun metagenomic sequencing.	SRR5312474,SRR5312475,SRR5312476,SRR5312478,SRR5312479,SRR5312480,SRR5312481,SRR5312482,SRR5312483,SRR5312484,SRR5312485,SRR5312486,SRR5312487,SRR5312488,SRR5312489
SRP097800	Wastewater treatment Type I Accumulibacter community from EBPR Bioreactor in Madison, WI, USA - TNR Reactor, Time B -10min-Anaerobic_ RNA metatranscriptome	 	SRR5204212
SRP081360	Forest soil microbial communities from Harvard Forest Long Term Ecological Research site in Petersham, Massachusetts, USA - MetaG HF014 metagenome	 	SRR4022087
SRP099809	Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample 9_17_2013_80cm metagenome	 	SRR5258707
SRP077404	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - August 2009 P16 10m metagenome	 	SRR3723928
ERP010858	Growth dynamics of gut microbiota in health and disease inferred from single metagenomic samples	Metagenomic sequencing has revolutionized our understanding of the role of the microbiome in health and disease, yet it only provides a snapshot of a highly dynamic ecosystem. Here, we show that the pattern of metagenomic sequencing read coverage for different bacterial microbial genomes contains a single trough and a single peak, thate latter coincidinges with  the bacterial origin of replication. Furthermore, the ratio of sequencing coverage between the peak and trough provides a quantitative measure of a speciesâ€™ growth rate. We demonstrate this in vitro and in vivo, under different growth conditions and in complex bacterial communities. For several bacterial species, peak to trough coverage ratios, but not relative abundances, correlated with the manifestation of inflammatory bowel disease and type II diabetes	ERR969462,ERR969464,ERR969465,ERR969466,ERR969467,ERR969468,ERR969469,ERR969470,ERR969471,ERR969472,ERR969473,ERR969474,ERR969475,ERR969476,ERR969477,ERR969478,ERR969479,ERR969480,ERR969481,ERR969482,ERR969483,ERR969484,ERR969485,ERR969486,ERR969487,ERR969488,ERR969489,ERR969490,ERR969491,ERR969492,ERR969493,ERR969494,ERR969495,ERR969496,ERR969497,ERR969499,ERR969500,ERR969501,ERR969502,ERR969503,ERR969504,ERR969505,ERR969506,ERR969507,ERR969510,ERR969511,ERR969512,ERR969513,ERR969514,ERR969515,ERR969516,ERR969517,ERR969518,ERR969519,ERR969520,ERR969521
SRP103397	Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 43_HOW7 metagenome	Methane oxidation as a community function: Freshwater sediment methanotrophic sample from Lake Washington under simulated oxygen tension - Sediment Metagenome 43_HOW7	SRR5430564
SRP080451	Arctic peat soil from Barrow, Alaska - Barrow Graham LP Incubations 004-32A metagenome	 	SRR3989255
SRP099364	Wastewater treatment Type I Accumulibacter community from EBPR Bioreactor in Madison, WI - N_134min_Aerobic metatranscriptome	 	SRR5248463
SRP089947	Active sludge microbial communities from wastewater treatment plant in Klosterneuburg, Austria - D04_HANv3 metagenome	Raman-based microcolony genomics for studying microevolution and ecology of nitrifiers	SRR4244874
SRP107645	Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T3_23-Sept-14 metagenome	Coupling Microbial Communities to Carbon and Contaminant Biogeochemistry in the Groundwater-Surface Water Interaction Zone	SRR5580773
DRP003706	Metagenome of The Cedars serpentinizing springs	The Cedars, a site in northern California, is noted for its abundant highly alkaline springs produced during serpentinization. This project includes metagenomic sequences of microbial communities associated with The Cedars serpentinization site.	DRR093101,DRR093103,DRR093104,DRR093102
SRP103211	Wastewater treatment Type I Accumulibacter community from EBPR Bioreactor in Madison, WI, USA - Reactor 1_1/23/2012_ DNA metagenome	 	SRR5422912
SRP111748	Forest soil microbial communities from Spain - ITS-tags Site 9-Mixed-thinned forest site A4_MS_spring Metatranscriptome metatranscriptome	Metatranscriptomics of forest soil microbial communities from Spain	SRR5821485
SRP051008	L1-AK-MG Metagenome	Metagenome of activated biomass treating hydrocarbon contaminated wastewater at low TDS (October 2013)	SRR1702225
SRP051172	Marine sediment trap metagenomes	This study explores the taxonomic and metabolic diversity of microbes associated with sinking particles in the North Pacific Subtropical Gyre. Marine particles are hotspots of microbial activity, yet the microbial taxa and biochemical processes involved in carbon and energy cycling on sinking particles are poorly understood. Metagenomes generated in this study revealed new insights into the important taxa and metabolisms involved in microbial processing of marine particles.	SRR1714142,SRR1714172,SRR1714175,SRR1714177,SRR1714182,SRR1714184,SRR1714186,SRR1714187,SRR1718502,SRR1718503,SRR1718504,SRR1718505,SRR1718506,SRR1718507,SRR1718529,SRR1718542,SRR1718543,SRR1718544,SRR1718744,SRR1718745,SRR1718746,SRR1718747,SRR1718748,SRR1718749,SRR1718750,SRR1718751,SRR1718752,SRR1718753,SRR1718754,SRR1718756,SRR1718852,SRR1718853,SRR1718863,SRR1718865,SRR1718866,SRR1718867,SRR1721322,SRR1721323
SRP089937	Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC028_MetaG metagenome	Metagenomics of anaerobic wastewater microbial communities to study anthropogenic carbon cycling	SRR4244739
SRP105508	Upper troposphere microbial communities from Maryland, USA - DAQMD-021 metagenome	 	SRR5487501
ERP010956	Study on the microbial community of a bioleaching column test	Study on the microbial community related to de bioleaching processes of copper sulfide ore.	ERR955909
SRP055134	Narragansett Bay (Estuary) Raw sequence reads	Nutrient availability plays a central role in driving the activities and large-scale distributions of phytoplankton, yet there are still fundamental gaps in understanding how phytoplankton metabolize nutrients, like nitrogen (N) and phosphorus (P), and how this metabolic potential is modulated in field populations. Here we show that co-occurring diatoms in Narragansett Bay have apparent differences in their metabolic capacity for N and P. Further, bioinformatic approaches enabled the identification and species-specific comparison of resource-responsive genes. Variation of these resource-responsive gene sets highlights the disparate transcriptional responses these species have to the same environment, which likely reflects the role resource partitioning has in facilitating the vast diversity of the phytoplankton.	SRR1810204,SRR1810205,SRR1810206,SRR1810207,SRR1810208,SRR1810209,SRR1810210,SRR1810211,SRR1810801
SRP080994	Winter Marine Metagenome CFL	Metagenomic reads and contigs from a winter sample in the Amundsen Gulf during CFL	SRR4004175
SRP108114	Aqueous microbial communities from the Delaware River and Bay under freshwater to marine salinity gradient to study organic matter cycling in a time-series - DEBay_Sum_22_N_>0.8_DNA metagenome	Biogeochemical cycling links between terrestrial and marine systems	SRR5616380
SRP105507	Upper troposphere microbial communities from Maryland, USA - DAQMD-024 metagenome	 	SRR5487500
SRP056002	Paired mucosal j-pouch and afferent limb samples from postoperative ulcerative colitis and familial ademonatous polyposis patients from Mount Sinai Hospital, Toronto. Samples were collected during pouch endoscopy and 16S sequenced.	Paired mucosal j-pouch and afferent limb samples from postoperative ulcerative colitis and familial ademonatous polyposis patients from Mount Sinai Hospital, Toronto. Samples were collected during pouch endoscopy and 16S sequenced.	SRR1915903,SRR1915905,SRR1915908,SRR1915909,SRR1915912,SRR1915915,SRR1915916,SRR1915917,SRR1915919,SRR1915920,SRR1915921,SRR1915922,SRR1915924,SRR1915925,SRR1915931,SRR1915938
SRP062933	Mix of 11 yeasts species metagenome	Mix of 11 yeasts species	SRR2190408,SRR2214201
SRP006715	Line P sample_J_09_P20_1000 Project	none provided	SRR200233
SRP064675	surficial deep-sea sediment metagenome from the South Pacific	To understand the microbial processes that contribute to the removal of the labile organic matter, metagenomic sequencing and analysis was carried out on a sample of sediment collected from 0-5 cmbsf from SPG site 10 (U1369).This study represents an important first analysis in understanding how microorganisms in oligotrophic sediments impact deep-sea carbon transformations.	SRR2605792,SRR2605793
SRP104895	Estuarine microbial communities from the Columbia River estuary - metaG 1554A-02 metagenome	Sequencing of microbial communities from the Columbia River estuary to analyze effect of nutrient fluxes	SRR5468381
SRP099339	Ecteinascidia turbinata endosymbiont from Florida, USA - Sample 3 metagenome	 	SRR5248220
SRP077420	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - August 2009 P26 500m metagenome	 	SRR3724175
SRP111779	Pelagic marine microbial communities from North Sea - COGITO_mtgs_110404 metagenome	Metagenomics of North Sea microbial communities with relevance to post-phytoplankton bloom &amp; benthic-pelagic carbon-turnover from a long-term ecological research (LTER) site Helgoland	SRR5821798
